trait	total_gwas_snps	trait_snps	eqtls_in_catalog	trait_eqtls	pval	adj_pval
Perceived unattractiveness to mosquitoes	165913	45	37	1	0.009987619489303181	0.033588457630855946
Time-dependent creatinine clearance change response to tenofovir treatment in HIV infection (time and treatment arm interaction)	165913	86	37	8	1.421456920231985e-19	5.827973372951138e-18
Itch intensity from mosquito bite	165913	98	37	1	0.02162638001826597	0.03925927512575426
Endometriosis	165913	113	37	1	0.0248961256895027	0.03925927512575426
Plantar warts	165913	81	37	1	0.017907771320132826	0.03925927512575426
Coronary artery disease	165913	902	37	2	0.017338123066152	0.03925927512575426
Risk-taking tendency (4-domain principal component model)	165913	106	37	1	0.023371569662487417	0.03925927512575426
Body fat percentage	165913	107	37	1	0.023589505286601618	0.03925927512575426
Myopia (age of diagnosis)	165913	112	37	1	0.02467847382759967	0.03925927512575426
C-reactive protein levels or LDL-cholesterol levels (pleiotropy)	165913	21	37	1	0.004673029215561166	0.023949274729750974
Autoimmune traits	165913	97	37	1	0.021408018071361272	0.03925927512575426
Composite immunoglobulin trait (IgA x IgG x IgM)	165913	2	37	1	0.00044596849945441157	0.009142354238815436
Hepatitis B vaccine response	165913	4	37	1	0.0008917434837218955	0.010966065288734712
Phospholipid levels (plasma)	165913	25	37	1	0.00556071787833927	0.025332159223545564
Plasma omega-6 polyunsaturated fatty acid levels (adrenic acid)	165913	6	37	1	0.0013373250352115501	0.010966065288734712
Blood metabolite ratios	165913	53	37	1	0.011753006122642186	0.03441951793059497
Chronic hepatitis B infection	165913	17	37	1	0.003784569593314552	0.022166764760842377
Primary biliary cholangitis	165913	84	37	1	0.01856499413198203	0.03925927512575426
Chronic lymphocytic leukemia	165913	101	37	1	0.02228118142218201	0.03925927512575426
Hepatitis C induced liver cirrhosis	165913	5	37	1	0.0011145584338037881	0.010966065288734712
Age-related macular degeneration	165913	73	37	1	0.016153082942599258	0.03925927512575426
Leprosy	165913	48	37	1	0.010649998761003105	0.033588457630855946
Breast size	165913	66	37	1	0.01461522867370711	0.03925927512575426
Oleic acid (18:1n-9) levels	165913	10	37	1	0.002227908164135542	0.015224039121592873
Arterial stiffness index	165913	45	37	1	0.009987619489303181	0.033588457630855946
Obesity (extreme)	165913	41	37	1	0.009103775897526941	0.033588457630855946
