trait	total_gwas_snps	trait_snps	eqtls_in_catalog	trait_eqtls	pval	adj_pval
IgG sialylation phenotypes (multivariate analysis)	165913	7	96	1	0.004043364548574586	0.024260187291447514
IgG disialylation phenotypes (multivariate analysis)	165913	4	96	1	0.0023124788954770412	0.024260187291447514
IgG monogalactosylation phenotypes (multivariate analysis)	165913	6	96	1	0.0034667331013254732	0.024260187291447514
IgG galactosylation phenotypes (multivariate analysis)	165913	9	96	1	0.005195637070802973	0.029340068164534435
IgG fucosylation phenotypes (multivariate analysis)	165913	7	96	1	0.004043364548574586	0.024260187291447514
IgG digalactosylation phenotypes (multivariate analysis)	165913	6	96	1	0.0034667331013254732	0.024260187291447514
IgG bisecting N-acetyl glucosamine phenotypes (multivariate analysis)	165913	5	96	1	0.0028897712790541923	0.024260187291447514
Allergic disease (asthma, hay fever or eczema)	165913	248	96	2	0.009251394754306658	0.04440669482067196
IgG N-glycosylation phenotypes (multivariate analysis)	165913	18	96	2	5.0385292526322785e-05	0.0024184940412634937
Menopause (age at onset)	165913	106	96	2	0.0017728673599306177	0.021274408319167413
N-glycan levels	165913	20	96	1	0.011509594354357453	0.048040046000796324
IgG glycosylation patterns	165913	56	96	7	3.934703854767053e-15	3.7773157005763714e-13
Post bronchodilator FEV1/FVC ratio in COPD	165913	473	96	4	0.00017608599754289438	0.004407212425602269
Hay fever and/or eczema	165913	154	96	2	0.0036860488313971815	0.024260187291447514
White matter hyperintensities	165913	19	96	1	0.010937240773312954	0.047726141556274713
Thyroid cancer	165913	34	96	2	0.0001836338510667612	0.004407212425602269
Asthma	165913	771	96	3	0.010371741712259004	0.047413676398898305
White matter hyperintensity volume	165913	80	96	2	0.001016593650847218	0.019518598096266587
Obstructive sleep apnea	165913	3	96	1	0.0017348557636726158	0.021274408319167413
Rheumatoid arthritis	165913	380	96	3	0.0014544906610733956	0.021274408319167413
Celiac disease or Rheumatoid arthritis	165913	15	96	1	0.008644545102227369	0.04367770156914881
Aspartate aminotransferase levels	165913	511	96	3	0.003356102848471662	0.024260187291447514
Eczema	165913	210	96	2	0.006723536247444507	0.03585885998637071
