hgnc_symbol	gene_biotype	ensembl_gene_id	ensembl_gene_id_version
MT-TF	Mt_tRNA	ENSG00000210049	ENSG00000210049.1
MT-RNR1	Mt_rRNA	ENSG00000211459	ENSG00000211459.2
MT-TV	Mt_tRNA	ENSG00000210077	ENSG00000210077.1
MT-RNR2	Mt_rRNA	ENSG00000210082	ENSG00000210082.2
MT-TL1	Mt_tRNA	ENSG00000209082	ENSG00000209082.1
MT-ND1	protein_coding	ENSG00000198888	ENSG00000198888.2
MT-TI	Mt_tRNA	ENSG00000210100	ENSG00000210100.1
MT-TQ	Mt_tRNA	ENSG00000210107	ENSG00000210107.1
MT-TM	Mt_tRNA	ENSG00000210112	ENSG00000210112.1
MT-ND2	protein_coding	ENSG00000198763	ENSG00000198763.3
MT-TW	Mt_tRNA	ENSG00000210117	ENSG00000210117.1
MT-TA	Mt_tRNA	ENSG00000210127	ENSG00000210127.1
MT-TN	Mt_tRNA	ENSG00000210135	ENSG00000210135.1
MT-TC	Mt_tRNA	ENSG00000210140	ENSG00000210140.1
MT-TY	Mt_tRNA	ENSG00000210144	ENSG00000210144.1
MT-CO1	protein_coding	ENSG00000198804	ENSG00000198804.2
MT-TS1	Mt_tRNA	ENSG00000210151	ENSG00000210151.2
MT-TD	Mt_tRNA	ENSG00000210154	ENSG00000210154.1
MT-CO2	protein_coding	ENSG00000198712	ENSG00000198712.1
MT-TK	Mt_tRNA	ENSG00000210156	ENSG00000210156.1
MT-ATP8	protein_coding	ENSG00000228253	ENSG00000228253.1
MT-ATP6	protein_coding	ENSG00000198899	ENSG00000198899.2
MT-CO3	protein_coding	ENSG00000198938	ENSG00000198938.2
MT-TG	Mt_tRNA	ENSG00000210164	ENSG00000210164.1
MT-ND3	protein_coding	ENSG00000198840	ENSG00000198840.2
MT-TR	Mt_tRNA	ENSG00000210174	ENSG00000210174.1
MT-ND4L	protein_coding	ENSG00000212907	ENSG00000212907.2
MT-ND4	protein_coding	ENSG00000198886	ENSG00000198886.2
MT-TH	Mt_tRNA	ENSG00000210176	ENSG00000210176.1
MT-TS2	Mt_tRNA	ENSG00000210184	ENSG00000210184.1
MT-TL2	Mt_tRNA	ENSG00000210191	ENSG00000210191.1
MT-ND5	protein_coding	ENSG00000198786	ENSG00000198786.2
MT-ND6	protein_coding	ENSG00000198695	ENSG00000198695.2
MT-TE	Mt_tRNA	ENSG00000210194	ENSG00000210194.1
MT-CYB	protein_coding	ENSG00000198727	ENSG00000198727.2
MT-TT	Mt_tRNA	ENSG00000210195	ENSG00000210195.2
MT-TP	Mt_tRNA	ENSG00000210196	ENSG00000210196.2
	protein_coding	ENSG00000271254	ENSG00000271254.6
	lncRNA	ENSG00000280538	ENSG00000280538.1
	rRNA	ENSG00000278457	ENSG00000278457.1
	protein_coding	ENSG00000278704	ENSG00000278704.1
INTS3	protein_coding	ENSG00000262826	ENSG00000262826.5
	rRNA	ENSG00000278294	ENSG00000278294.1
	lncRNA	ENSG00000281806	ENSG00000281806.1
	lncRNA	ENSG00000281362	ENSG00000281362.1
KIR2DL3	protein_coding	ENSG00000273947	ENSG00000273947.5
	processed_pseudogene	ENSG00000275151	ENSG00000275151.1
LILRP2	transcribed_processed_pseudogene	ENSG00000274861	ENSG00000274861.4
KIR2DL4	protein_coding	ENSG00000276779	ENSG00000276779.1
	lncRNA	ENSG00000279969	ENSG00000279969.1
LINC02109	lncRNA	ENSG00000274882	ENSG00000274882.4
LILRP1	unprocessed_pseudogene	ENSG00000274339	ENSG00000274339.1
KIR3DL2	protein_coding	ENSG00000273735	ENSG00000273735.4
KIR2DL1	protein_coding	ENSG00000276820	ENSG00000276820.1
KIR3DL1	protein_coding	ENSG00000273775	ENSG00000273775.5
KIR2DS3	protein_coding	ENSG00000278306	ENSG00000278306.1
KIR2DS4	polymorphic_pseudogene	ENSG00000274324	ENSG00000274324.1
KIR3DL3	protein_coding	ENSG00000276433	ENSG00000276433.1
KIR2DL4	protein_coding	ENSG00000275732	ENSG00000275732.4
	snoRNA	ENSG00000277995	ENSG00000277995.1
	unprocessed_pseudogene	ENSG00000274130	ENSG00000274130.1
KIR2DL2	protein_coding	ENSG00000278731	ENSG00000278731.5
LILRP1	unprocessed_pseudogene	ENSG00000277921	ENSG00000277921.1
KIR2DL3	protein_coding	ENSG00000277554	ENSG00000277554.5
KIR3DL3	protein_coding	ENSG00000277620	ENSG00000277620.1
	unprocessed_pseudogene	ENSG00000276970	ENSG00000276970.1
