gene	biotype
C1orf112	protein_coding
CFH	protein_coding
NIPAL3	protein_coding
CFTR	protein_coding
RAD52	protein_coding
AOC1	protein_coding
MAD1L1	protein_coding
LASP1	protein_coding
SNX11	protein_coding
TMEM176A	protein_coding
M6PR	protein_coding
KLHL13	protein_coding
ICA1	protein_coding
ALS2	protein_coding
CFLAR	protein_coding
SLC7A2	protein_coding
ARF5	protein_coding
SARM1	protein_coding
RBM6	protein_coding
RECQL	protein_coding
VPS50	protein_coding
ARHGAP33	protein_coding
SLC25A13	protein_coding
ST7	protein_coding
CDC27	protein_coding
SKAP2	protein_coding
MCUB	protein_coding
DHX33	protein_coding
THSD7A	protein_coding
LIG3	protein_coding
ACSM3	protein_coding
SPPL2B	protein_coding
PRKAR2B	protein_coding
CREBBP	protein_coding
TSPOAP1	protein_coding
PON1	protein_coding
KMT2E	protein_coding
IBTK	protein_coding
ZNF195	protein_coding
MYCBP2	protein_coding
PDK2	protein_coding
ITGA3	protein_coding
ZFX	protein_coding
ASB4	protein_coding
CRLF1	protein_coding
TMEM98	protein_coding
YBX2	protein_coding
MAP3K14	protein_coding
ABCC8	protein_coding
ZNF263	protein_coding
SPATA20	protein_coding
TNFRSF12A	protein_coding
KDM7A	protein_coding
ETV1	protein_coding
AGK	protein_coding
TTC22	protein_coding
PHTF2	protein_coding
FARP2	protein_coding
IFRD1	protein_coding
COX10	protein_coding
ELAC2	protein_coding
PNPLA4	protein_coding
CDKL3	protein_coding
UPP2	protein_coding
PROM1	protein_coding
CCDC124	protein_coding
CEACAM21	protein_coding
PAFAH1B1	protein_coding
KIAA0100	protein_coding
SLC13A2	protein_coding
GAS7	protein_coding
ST7L	protein_coding
RPUSD1	protein_coding
CACNA2D2	protein_coding
SELE	protein_coding
DNAJC11	protein_coding
NOX1	protein_coding
PSMB1	protein_coding
JARID2	protein_coding
CDKL5	protein_coding
CAMK1G	protein_coding
CDK11A	protein_coding
CYTH3	protein_coding
ADAM22	protein_coding
SPAG9	protein_coding
MPND	protein_coding
MGST1	protein_coding
CRY1	protein_coding
NFIX	protein_coding
IL32	protein_coding
MED24	protein_coding
HEATR5B	protein_coding
REV3L	protein_coding
TENM1	protein_coding
MASP2	protein_coding
IYD	protein_coding
POMT2	protein_coding
MLXIPL	protein_coding
RANBP9	protein_coding
ETV7	protein_coding
METTL13	protein_coding
DYRK4	protein_coding
STARD3NL	protein_coding
CD9	protein_coding
SLC6A13	protein_coding
IDS	protein_coding
LRRC23	protein_coding
BTK	protein_coding
SCMH1	protein_coding
FYN	protein_coding
HIVEP2	protein_coding
FMO1	protein_coding
TSPAN9	protein_coding
APBA3	protein_coding
MBTD1	protein_coding
RNF216	protein_coding
TTC19	protein_coding
LARS2	protein_coding
PIK3C2A	protein_coding
RABGAP1	protein_coding
QPCTL	protein_coding
CEP68	protein_coding
BRCA1	protein_coding
ERCC1	protein_coding
CD22	protein_coding
MBTPS2	protein_coding
EXTL3	protein_coding
ALOX5	protein_coding
CALCOCO1	protein_coding
PSMC4	protein_coding
MAN2B2	protein_coding
CLDN11	protein_coding
MVP	protein_coding
RWDD2A	protein_coding
RNF14	protein_coding
DNASE1L1	protein_coding
DDX11	protein_coding
HEBP1	protein_coding
ZC3H3	protein_coding
ACPP	protein_coding
MTMR11	protein_coding
CCDC88C	protein_coding
ZMYND11	protein_coding
NPC1L1	protein_coding
XYLT2	protein_coding
NUDCD3	protein_coding
IL20RA	protein_coding
ATP2C1	protein_coding
RALBP1	protein_coding
CNTN1	protein_coding
AGPS	protein_coding
CXorf56	protein_coding
TTC27	protein_coding
ZNF582	protein_coding
PRDM11	protein_coding
ADGRA2	protein_coding
ZFP64	protein_coding
MNAT1	protein_coding
SAMD4A	protein_coding
MRE11	protein_coding
SLC7A9	protein_coding
NRXN3	protein_coding
OSBPL5	protein_coding
C8B	protein_coding
NLRP2	protein_coding
GRAMD1B	protein_coding
RB1CC1	protein_coding
ERP44	protein_coding
GLRX2	protein_coding
UBR2	protein_coding
CCDC28A	protein_coding
RRAGD	protein_coding
HSF2	protein_coding
PHF20	protein_coding
TYMP	protein_coding
TOMM34	protein_coding
SEC63	protein_coding
KPNA6	protein_coding
FAS	protein_coding
RNASET2	protein_coding
AGPAT4	protein_coding
BTN3A1	protein_coding
MIPEP	protein_coding
PRKCH	protein_coding
IFNGR1	protein_coding
B4GALT7	protein_coding
VRK2	protein_coding
POU2F2	protein_coding
SNX1	protein_coding
ARNTL2	protein_coding
TFB1M	protein_coding
RABEP1	protein_coding
BAK1	protein_coding
FAM13B	protein_coding
CENPQ	protein_coding
TSSC1	protein_coding
IFT88	protein_coding
ABCF2	protein_coding
LRRC7	protein_coding
FUT8	protein_coding
GAB2	protein_coding
ATP6V0A1	protein_coding
PIAS1	protein_coding
SLC4A7	protein_coding
APBA2	protein_coding
MAP2K3	protein_coding
EFCAB1	protein_coding
RNF19A	protein_coding
PEX3	protein_coding
SH3YL1	protein_coding
TIMP2	protein_coding
MYOM2	protein_coding
CYP46A1	protein_coding
ZZZ3	protein_coding
NSUN2	protein_coding
FBXO42	protein_coding
MFAP3	protein_coding
MRI1	protein_coding
AGA	protein_coding
MAT2B	protein_coding
TRIO	protein_coding
VCAN	protein_coding
CLEC16A	protein_coding
MSR1	protein_coding
CDH1	protein_coding
DNAH5	protein_coding
RAI14	protein_coding
PHLPP2	protein_coding
STAU2	protein_coding
PQLC2	protein_coding
CTNS	protein_coding
RAB27B	protein_coding
PSMA4	protein_coding
MYO16	protein_coding
LSG1	protein_coding
TNC	protein_coding
THAP3	protein_coding
TDP1	protein_coding
AIFM2	protein_coding
SPATA7	protein_coding
MED17	protein_coding
RETSAT	protein_coding
CAPG	protein_coding
USH2A	protein_coding
TG	protein_coding
TRIT1	protein_coding
CUL7	protein_coding
CTNNA1	protein_coding
PHKA2	protein_coding
CNTLN	protein_coding
