ensembl_gene_id	hgnc_symbol
ENSG00000159212	CLIC6
ENSG00000108821	COL1A1
ENSG00000164692	COL1A2
ENSG00000134769	DTNA
ENSG00000129595	EPB41L4A
ENSG00000008517	IL32
ENSG00000277025	MBOAT7
ENSG00000277923	MBOAT7
ENSG00000275118	MBOAT7
ENSG00000277733	MBOAT7
ENSG00000278519	MBOAT7
ENSG00000278322	MBOAT7
ENSG00000274194	MBOAT7
ENSG00000276935	MBOAT7
ENSG00000273592	MBOAT7
ENSG00000125505	MBOAT7
ENSG00000203805	PLPP4
ENSG00000100344	PNPLA3
ENSG00000080293	SCTR
ENSG00000154096	THY1
ENSG00000213996	TM6SF2
ENSG00000006327	TNFRSF12A
