chr	snps	eqtls	genes	egenes	size_mb	snp_per_mb	genes_per_mb
chr1	1084187	26291	5056	706	248.96	4354.86423521851	20.3084832904884
chr10	695935	13113	2155	302	133.8	5201.30792227205	16.1061285500747
chr11	683457	16178	3132	437	135.09	5059.2715967133	23.184543637575
chr12	667032	16512	2832	432	133.28	5004.7418967587	21.2484993997599
chr13	499592	4383	1270	136	114.36	4368.59041622945	11.1052815669815
chr14	453396	8755	2129	258	107.04	4235.76233183856	19.8897608370703
chr15	410505	10626	2049	271	101.99	4024.95342680655	20.0902049220512
chr16	435450	13633	2382	360	90.34	4820.12397609033	26.3670577817135
chr17	384746	21340	2844	560	83.26	4621.01849627672	34.158059092001
chr18	392889	4251	1142	125	80.37	4888.50317282568	14.2092820704243
chr19	325670	17855	2746	521	58.62	5555.61241896963	46.8440805185943
chr2	1156034	20576	3886	522	242.19	4773.25240513646	16.0452537264131
chr20	305434	6012	1338	209	64.44	4739.81998758535	20.7635009310987
chr21	201529	3347	818	88	46.71	4314.47227574395	17.5123099978591
chr22	196646	8555	1257	269	50.82	3869.46084218811	24.7343565525384
chr3	981548	14971	2945	416	198.3	4949.81341401916	14.851235501765
chr4	1007839	17220	2476	314	190.21	5298.55948688292	13.0171915251564
chr5	881512	13128	2799	311	181.54	4855.74529029415	15.4180896772061
chr6	914475	41539	2800	629	170.81	5353.75563491599	16.3924828757099
chr7	814321	21153	2763	450	159.35	5110.26670850329	17.3391904612488
chr8	762499	9693	2295	261	145.14	5253.54140829544	15.8123191401406
chr9	600719	11125	2174	326	138.39	4340.76884167931	15.7092275453429
chrX	529632	6889	2315	198	156.04	3394.2066136888	14.8359395026916
